star_name,system,band,eb,dist_pc,flo_GHz,fhi_GHz,chanw_Hz,bandwidth_Hz,on_source_s,n_ant,rms_mJy,smin_mJy,eirp_5sigma_W,drift_max_Hz_s,n_drift_trials,resolution_class,star_snr,ctrl_max_snr,n_ctrl,n_ctrl_ge_star,p_rank_addone,nearest_line,line_offset_MHz,line_offset_kms,hit,spatially_significant,qa_status,disposition
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.72841,8.64506,2.738048e+13,2880.0000,4,coarse,2.5769,4.1143,512,305,0.596491,CS(5-4),-4959.4394,-6195.01,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_X9976,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.80289,9.01764,2.856049e+13,2904.0000,4,coarse,2.9671,5.2673,512,141,0.276803,CS(5-4),-2459.4394,-3046.78,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,223.085939,224.914064,15625000.0000,1843750000.0,2998.80,,1.34271,6.71556,2.126940e+13,2688.0000,4,coarse,2.7672,4.5622,512,251,0.491228,13CO(2-1),3999.4394,5352.69,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,225.085939,226.914064,15625000.0000,1843750000.0,2998.80,,1.26453,6.32457,2.003107e+13,2712.0000,4,coarse,2.2130,4.5102,512,471,0.920078,CO(2-1),-4905.1856,-6506.80,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,239.085936,240.914061,15625000.0000,1843750000.0,2998.80,,1.40504,7.02764,2.225781e+13,2880.0000,4,coarse,3.0235,4.7539,512,146,0.286550,CS(5-4),-4896.9394,-6116.94,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_X1077d5b_Xa63d,1.3016,241.085936,242.914061,15625000.0000,1843750000.0,2998.80,,1.46135,7.30931,2.314992e+13,2904.0000,4,coarse,2.3457,4.2992,512,445,0.869396,CS(5-4),-3615.6894,-4479.16,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xbcef34_X2720,1.3020,223.132812,224.867188,15625000.0000,1750000000.0,453.60,,8.25292,41.2997,1.308035e+14,2688.0000,2,coarse,3.3326,4.0872,512,37,0.074074,13CO(2-1),4405.6875,5896.39,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xbcef34_X2720,1.3020,225.132812,226.867188,15625000.0000,1750000000.0,453.60,,8.09125,40.4912,1.282431e+14,2712.0000,2,coarse,2.4331,3.8963,512,276,0.539961,CO(2-1),-3873.9375,-5138.84,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xbcef34_X2720,1.3020,239.132813,240.867188,15625000.0000,1750000000.0,453.60,,8.91878,44.6374,1.413749e+14,2880.0000,2,coarse,2.4542,4.3606,512,305,0.596491,CS(5-4),-5068.8125,-6331.63,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xbcef34_X2720,1.3020,241.132813,242.867188,15625000.0000,1750000000.0,453.60,,9.48041,47.4491,1.502799e+14,2904.0000,2,coarse,2.3924,4.5065,512,306,0.598441,CS(5-4),-2787.5625,-3453.27,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xdb7ab7_X140ee,1.3020,223.085939,224.914064,15625000.0000,1843750000.0,60.48,,15.3062,76.5665,2.424998e+14,2688.0000,2,coarse,2.7551,4.3498,512,139,0.272904,13CO(2-1),3827.5644,5122.66,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xdb7ab7_X140ee,1.3020,225.085939,226.914064,15625000.0000,1843750000.0,60.48,,14.5197,72.6329,2.300416e+14,2712.0000,2,coarse,3.1644,4.3938,512,71,0.140351,CO(2-1),-4436.4356,-5885.00,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xdb7ab7_X140ee,1.3020,239.085936,240.914061,15625000.0000,1843750000.0,60.48,,15.9812,79.9484,2.532109e+14,2880.0000,2,coarse,2.7859,4.2976,512,134,0.263158,CS(5-4),-4771.9394,-5960.80,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xdb7ab7_X140ee,1.3020,241.085936,242.914061,15625000.0000,1843750000.0,60.48,,16.7563,83.8268,2.654948e+14,2904.0000,2,coarse,2.3775,4.0941,512,304,0.594542,CS(5-4),-3568.8144,-4421.09,False,False,searched,
Proxima Cen,Proxima Cen,6,A002_Xdb7ab7_X8bda,1.3020,223.085939,224.914064,15625000.0000,1843750000.0,60.48,,11.9348,59.7025,1.890887e+14,2688.0000,2,coarse,2.7275,3.9282,512,201,0.393762,13CO(2-1),4374.4394,5854.57,False,False,searched,
