rank,name,ra,dec,dist_pc,pmra,pmdec,alma_bands,gmag,teff,is_exo_host,n_planets,source,status,orig_rank,gaia_source_id
64,LSPM J0501+2237,75.32477273200419,22.61536006911671,14.308557167831168,-62.47853845087493,-351.05080501265377,7,13.571757316589355,,,,new20pc,needs_redo,48,
65,PM J02024+1034A,30.617298488262897,10.581070527181739,14.36053481919483,-50.192911607821685,-97.14188773868602,"3,6",11.877723693847656,,,,new20pc,needs_redo,49,
66,HD 216133,342.5804573056282,-7.089644096557749,14.507412168167075,-106.57232266763265,103.75824912054978,7,9.132903099060059,3818.51611328125,,,new20pc,needs_redo,50,
67,HD  45088,96.54210989551521,18.75620888605506,14.616850448045398,-131.61803260888314,-150.5645222715154,"6,7",6.484982013702393,,,,new20pc,needs_redo,51,
68,GJ14 (Gaia DR3 383426372059603712),4.279896289658576,40.94866840359883,14.687600745180884,567.191978775712,83.45352189239841,6,8.371855735778809,3875.679931640625,False,0,top100,needs_redo,30,
69,HD  45088B,96.54174584642976,18.756661354398116,14.750702304926294,-71.83298293497515,-193.05769600510635,"6,7",10.395798683166504,,,,new20pc,needs_redo,52,
70,LP  869-26,296.2257504183332,-23.633980573875828,14.83941689987868,315.1388756295232,-136.19720414785453,7,13.051262855529785,,,,new20pc,needs_redo,53,
71,LHS 1140,11.2486779084442,-15.274191339893132,14.963620881657688,318.1520629418195,-596.6229051027706,6,12.653936386108398,3096.0,True,2,top100,needs_redo,8,
72,HD 38858 (Gaia DR3 3023711269067191296),87.1458581131804,-4.095664047742017,15.210375829466273,61.42699725421628,-229.29120099564255,6,5.805881023406982,5647.2470703125,False,0,top100,needs_redo,20,
73,G  70-43,17.983386501731477,4.915728547493478,15.462708244225679,398.0534874293875,-532.9469693803433,6,11.733450889587402,,,,new20pc,needs_redo,54,
74,G  70-44,17.993289554427015,4.901105297805829,15.48779365578345,373.0493297359216,-529.9635898940465,6,12.558009147644043,,,,new20pc,needs_redo,55,
75,HD 207129 (Gaia DR3 6564091190988411520),327.0667117287086,-47.30492965427047,15.558956955870052,165.06854306177507,-295.552731253777,6,5.419392108917236,5815.8623046875,False,0,top100,needs_redo,16,
76,HD 191391,302.57951441515877,-20.4950698499972,15.820927348603028,-427.5824594520644,-367.3781753063445,7,8.386856079101562,3987.56494140625,,,new20pc,needs_redo,56,
77,CD-33 13497B,280.80077352096055,-33.37699712022282,16.0667516672869,-147.35561766790875,-368.39083000573055,6,14.26707649230957,,,,new20pc,needs_redo,57,
78,CD-33 13497,280.8014172914453,-33.38112796161168,16.113633547375937,-129.32691074222322,-371.1947169590787,6,9.483536720275879,,,,new20pc,needs_redo,58,
79,HD 23484 (Gaia DR3 4856592239127350400),56.0394043824196,-38.280484230845914,16.169613332824454,209.05794687020227,289.31584899741154,6,6.751104354858398,5048.0380859375,False,0,top100,secure,56,
