trial,target,window,band,chanw_Hz,klass,n_int,n_chan,inj_chan,amp_sigma,dwell,realisation,sigma_per_int,recovered_snr,peak_chan,detected
138,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.1,0,0.003896629928477341,2.054955426215664,64,False
139,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.1,1,0.003896629928477341,2.3037719390358813,64,False
140,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.1,2,0.003896629928477341,2.2127817341521983,64,False
141,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.1,3,0.003896629928477341,2.2841669218030387,64,False
142,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.1,4,0.003896629928477341,2.260222413592451,64,False
143,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,5,0.1,5,0.003896629928477341,2.2327050342323544,64,False
144,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,1.0,0,0.003896629928477341,40.51657855620025,64,True
145,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,1.0,1,0.003896629928477341,40.51657855620025,64,True
146,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,1.0,2,0.003896629928477341,40.51657855620025,64,True
147,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,1.0,3,0.003896629928477341,40.51657855620025,64,True
148,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,1.0,4,0.003896629928477341,40.51657855620025,64,True
149,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,1.0,5,0.003896629928477341,40.51657855620025,64,True
150,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.75,0,0.003896629928477341,30.304120106472624,64,True
151,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.75,1,0.003896629928477341,31.253570891934466,64,True
152,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.75,2,0.003896629928477341,30.73002682352535,64,True
153,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.75,3,0.003896629928477341,31.09305215672054,64,True
154,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.75,4,0.003896629928477341,30.629534644958753,64,True
155,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.75,5,0.003896629928477341,30.58021007395189,64,True
156,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.5,0,0.003896629928477341,20.036341252409986,64,True
157,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.5,1,0.003896629928477341,20.43362642869947,64,True
158,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.5,2,0.003896629928477341,20.24700723758227,64,True
159,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.5,3,0.003896629928477341,20.14622932443863,64,True
160,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.5,4,0.003896629928477341,19.97122038877565,64,True
161,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.5,5,0.003896629928477341,20.076916030876745,64,True
162,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.4,0,0.003896629928477341,15.96293672962635,64,True
163,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.4,1,0.003896629928477341,16.190682250268203,64,True
164,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.4,2,0.003896629928477341,16.126158640932402,64,True
